logFC	logCPM	F	PValue	FDR
Zm00001eb371590	5.79936948918974	7.74091603941538	3589.68452499327	1.49287086598413e-11	4.5590134792969e-09
Zm00001eb339810	5.00228045564479	5.5037079948514	3567.97312565718	1.5280543189221e-11	4.5590134792969e-09
Zm00001eb207430	3.5650912652372	5.66808686936652	3559.77841056702	1.54160512950509e-11	4.5590134792969e-09
Zm00001eb281370	3.98560285463761	5.26312754134054	3551.52957237273	1.55539870397239e-11	4.5590134792969e-09
Zm00001eb229600	3.1018025408268	5.9142663169274	3551.3828465887	1.55564546105247e-11	4.5590134792969e-09
Zm00001eb185160	5.28616894142872	6.09397109943111	3532.46482073331	1.58787843494871e-11	4.60550225658216e-09
Zm00001eb048770	4.75793713650255	4.16895434903494	3510.62204297531	1.62614870609915e-11	4.62478482333402e-09
Zm00001eb360940	5.97227356243752	5.16996853537011	3509.91686686694	1.62740348869719e-11	4.62478482333402e-09
Zm00001eb155730	3.15541954256657	6.25029536006809	3469.96442446767	1.70053146655772e-11	4.78427522801348e-09
Zm00001eb386040	5.053128764179	4.73976231966251	3453.22791934975	1.73239418009392e-11	4.82566117453093e-09
Zm00001eb250150	4.07579010904054	5.33111207750072	3427.35665310612	1.78314255302014e-11	4.84567447393437e-09
Zm00001eb250160	4.07579010904054	5.33111207750072	3427.35665310612	1.78314255302014e-11	4.84567447393437e-09
Zm00001eb356430	4.95790372146704	3.89494345570274	3408.65124141462	1.82100537890315e-11	4.84567447393437e-09
Zm00001eb155400	4.77734847131879	4.42020386907549	3392.00701268905	1.85555140810953e-11	4.84567447393437e-09
Zm00001eb155410	4.77734847131879	4.42020386907549	3392.00701268905	1.85555140810953e-11	4.84567447393437e-09
Zm00001eb307480	5.33687732105119	7.04341886853224	3391.03554585328	1.85759314145169e-11	4.84567447393437e-09
Zm00001eb083490	3.27499931817418	5.11748535648421	3383.50301205927	1.87352073174231e-11	4.84567447393437e-09
Zm00001eb285960	5.76608953496982	6.57586494632262	3374.25510817619	1.89331154731429e-11	4.84567447393437e-09
Zm00001eb434190	3.73690492559775	6.30752570669048	3371.86219933878	1.89847529333089e-11	4.84567447393437e-09
Zm00001eb229440	4.47379657292699	7.45256662960803	3358.00751627645	1.92872418094037e-11	4.84567447393437e-09
Zm00001eb322440	4.00639187986101	8.62597230973735	3357.86523328915	1.92903796502683e-11	4.84567447393437e-09
Zm00001eb337860	4.73127901712116	4.12845453677458	3319.39268406346	2.01629701006976e-11	4.93193826386293e-09
Zm00001eb254960	6.27288952539059	5.80772497336588	3315.03614740492	2.02648882981572e-11	4.93193826386293e-09
Zm00001eb201890	4.14999749559176	6.34684412969465	3312.05526589463	2.0334998173317e-11	4.93193826386293e-09
Zm00001eb201900	4.14999749559176	6.34684412969465	3312.05526589463	2.0334998173317e-11	4.93193826386293e-09
Zm00001eb013340	4.50290646678349	6.86111036342191	3293.67714345396	2.07740668669719e-11	4.99536407893493e-09
Zm00001eb075270	4.5639870859062	5.51569084706291	3283.06402847699	2.10330690787158e-11	5.01478275814059e-09
Zm00001eb296670	3.8814565828732	5.97639616212273	3248.82878771294	2.18967607563712e-11	5.17683585814914e-09
Zm00001eb434180	3.81556492174707	6.65601794157864	3225.99228759614	2.24978221264602e-11	5.2746143975486e-09
Zm00001eb214410	4.3821022670156	7.94215531470602	3211.46360521455	2.28910622173963e-11	5.3224557390432e-09
Zm00001eb020650	8.12412009062261	3.47209546027772	3196.83040026505	2.32959256169084e-11	5.37219320742706e-09
Zm00001eb330590	2.92242819677764	7.40484180651968	3179.6121744119	2.37839350026775e-11	5.44014005988073e-09
Zm00001eb159250	3.0598352797179	6.91634561492941	3161.56459034106	2.43093590858686e-11	5.48645626482771e-09
Zm00001eb079000	4.73991080760249	6.11217151803975	3159.29553095536	2.43764496020283e-11	5.48645626482771e-09
Zm00001eb005990	5.41021784413554	5.51764809939385	3145.61259705377	2.47860039805407e-11	5.53436060308358e-09
Zm00001eb379110	4.10962634385986	6.00396489906734	3133.0180583082	2.51706717649379e-11	5.57599747586427e-09
Zm00001eb214420	3.51168099998834	8.15832232648608	3106.23356569498	2.60140681171871e-11	5.62230835783105e-09
Zm00001eb170080	5.5560914501111	9.44281675728735	3104.57017353073	2.60676113072144e-11	5.62230835783105e-09
Zm00001eb293790	5.19025912311411	6.02631536866309	3094.82806593903	2.63840052353906e-11	5.62230835783105e-09
Zm00001eb155720	4.91058242239439	4.0651191067323	3092.64474870997	2.64555753284836e-11	5.62230835783105e-09
Zm00001eb066210	4.58582968213635	7.09685246309575	3085.2033549702	2.6701352459726e-11	5.62230835783105e-09
