logFC	logCPM	F	PValue	FDR
Zm00001eb324700	-2.36104021814796	9.23739279602433	1896.14565018483	1.00647376747567e-27	1.322983281195e-24
Zm00001eb075450	2.2909632163593	6.82629676667669	1882.57476117814	1.1138606676315e-27	1.39093350870484e-24
Zm00001eb084190	-2.62297412913196	5.81212498926705	1867.37077140357	1.24890856843853e-27	1.48513174607186e-24
Zm00001eb392300	2.53934462684426	6.50464426625477	1861.24062010468	1.30822416070394e-27	1.48513174607186e-24
Zm00001eb083180	-2.53329503778915	8.07345973950477	1840.43040224924	1.53314188414659e-27	1.64255599358881e-24
Zm00001eb245970	-2.7721538641628	6.69663179524105	1835.9244865062	1.58709150508323e-27	1.64255599358881e-24
Zm00001eb245960	-2.7966029240306	6.87129718613774	1831.32986970176	1.64420019378259e-27	1.64255599358881e-24
Zm00001eb079740	-3.01165775965944	7.14090560094481	1808.34681547927	1.96483360543617e-27	1.88737381906801e-24
Zm00001eb361000	-3.84348762038703	5.14841112461691	1787.18102000117	2.31974734090998e-27	2.14576629034174e-24
Zm00001eb161870	-1.9078697929499	7.55185225415733	1737.25056334732	3.4589867805262e-27	3.08529267298721e-24
Zm00001eb163900	-2.8316971469228	7.66018660209337	1727.38660998275	3.74805725397049e-27	3.12025766393043e-24
Zm00001eb163910	-2.8316971469228	7.66018660209337	1727.38660998275	3.74805725397049e-27	3.12025766393043e-24
Zm00001eb002620	-2.7384711752365	6.12816567078906	1720.92774513334	3.95127177512682e-27	3.18332298657395e-24
Zm00001eb105580	-2.95080279053866	6.70903987706912	1713.5597928228	4.1975776460411e-27	3.27607817843364e-24
Zm00001eb347850	-3.60545062828499	4.79210417391079	1659.96543558057	6.56808442676515e-27	4.97084571389272e-24
Zm00001eb161880	-1.91107862848798	7.45710201843761	1629.24550570941	8.54464389687616e-27	6.27654356836712e-24
Zm00001eb071110	-1.92213774155142	8.03365404417794	1530.18187836722	2.06595949161806e-26	1.4742096658046e-23
Zm00001eb172450	4.28333999205524	5.22213954549551	1512.78724303105	2.42637178584525e-26	1.6083961930263e-23
Zm00001eb350690	-3.39166529312559	5.74935149511032	1512.2331847154	2.43890399161359e-26	1.6083961930263e-23
Zm00001eb419530	-2.98266507934274	6.01593025092532	1511.86767084891	2.4472094228228e-26	1.6083961930263e-23
Zm00001eb198030	-3.00215302399754	7.09070966094434	1489.00733746067	3.03190146004445e-26	1.94158305037462e-23
Zm00001eb198020	-3.0026187982325	7.09321344840019	1476.07162705575	3.42758375379906e-26	2.14009760627829e-23
Zm00001eb377410	4.2703412760784	4.36242767036657	1473.13628518706	3.52484843236885e-26	2.14714852679053e-23
Zm00001eb369520	-2.49256897144244	7.0760720871208	1452.25026367785	4.30825510954842e-26	2.56187312764218e-23
Zm00001eb186570	-2.76168053320005	5.12470112361745	1434.18268595147	5.13687068698534e-26	2.93234960082529e-23
Zm00001eb175810	-3.07053373528769	6.27243419157618	1433.60357924342	5.16610139885136e-26	2.93234960082529e-23
Zm00001eb159020	-2.78515000286239	9.34972690868824	1430.93714753425	5.30300578747418e-26	2.94316821204817e-23
Zm00001eb186560	-2.74657695391143	5.09729859400831	1403.95565146223	6.92863166868442e-26	3.7617951288129e-23
Zm00001eb076190	-2.80068430263434	5.26002791108955	1401.45094091141	7.10457771173636e-26	3.77525166703438e-23
Zm00001eb036750	-1.65104965897138	8.81994374502826	1386.78942559856	8.23519278241731e-26	4.28487374460151e-23
Zm00001eb163860	-2.59931601261969	7.78659660782125	1363.97386742173	1.03947174245551e-25	5.29812383016864e-23
Zm00001eb048870	-2.8556124227392	7.37422573763584	1357.53363289807	1.11086619475839e-25	5.54877664281814e-23
Zm00001eb051810	2.26568991280765	7.39607489178844	1347.23699244805	1.23613363363736e-25	5.9409225857823e-23
Zm00001eb247610	-1.48287409099383	9.82431151758186	1347.17369898062	1.23694884668941e-25	5.9409225857823e-23
Zm00001eb027820	-1.80601364597665	7.69710427664253	1328.70568337144	1.50128275906227e-25	7.07444092595852e-23
Zm00001eb197410	-2.08288415779664	6.32384082904195	1324.63772861525	1.56726873127517e-25	7.22212447885925e-23
Zm00001eb225360	2.63149497496176	5.32660349002128	1323.25150506887	1.59045784319223e-25	7.22212447885925e-23
Zm00001eb234160	2.02280046026629	6.15776256667186	1320.35443246247	1.64011451351914e-25	7.31461785270368e-23
